group,predictor,rho,p,ci_lo,ci_hi,crosses_zero
ABL1,esm1b_score,0.25,0.5164895523012263,-0.65,0.95,True
ABL1,esm2_150M_score,0.0,1.0,-0.7,0.7833333333333333,True
ABL1,esm2_650M_score,-0.03333333333333333,0.932156735540504,-0.6666666666666666,0.65,True
ABL1,esm2_3B_score,-0.15,0.7000942309691419,-0.7333333333333333,0.5833333333333334,True
ABL1,blosum62,-0.1025978352085154,0.7928141589162916,-0.7833333333333333,0.7333333333333333,True
ABL1,distance_to_inhibitor,0.48535989707831934,0.18535381786420974,-0.31666666666666665,1.0,True
ABL1,distance_to_atp_pocket,0.48535989707831934,0.18535381786420974,-0.35,0.95,True
EGFR,esm1b_score,-0.3142857142857143,0.5440932944606414,-0.9428571428571428,0.8285714285714286,True
EGFR,esm2_150M_score,-0.7714285714285715,0.07239650145772594,-0.9428571428571428,0.14285714285714285,True
EGFR,esm2_650M_score,-0.7142857142857143,0.1107871720116617,-0.8857142857142857,0.14285714285714285,True
EGFR,esm2_3B_score,-0.6,0.20799999999999982,-0.8285714285714286,0.14285714285714285,True
EGFR,blosum62,-0.4707919090691997,0.34598647783417236,-0.8857142857142857,0.9428571428571428,True
EGFR,distance_to_inhibitor,0.20291986247835694,0.699797968157019,-0.6571428571428571,1.0,True
EGFR,distance_to_atp_pocket,-0.02898855178262242,0.9565293523898406,-0.7714285714285715,1.0,True
Combined,esm1b_score,-0.06785714285714285,0.8101088187105131,-0.6571428571428571,0.525,True
Combined,esm2_150M_score,-0.3571428571428571,0.19127476343157904,-0.8035714285714286,0.2714285714285714,True
Combined,esm2_650M_score,-0.3571428571428571,0.19127476343157904,-0.7678571428571429,0.21071428571428572,True
Combined,esm2_3B_score,-0.38928571428571423,0.15151193679039388,-0.7571428571428571,0.1392857142857143,True
Combined,blosum62,-0.3524270871428891,0.19762491161313622,-0.775,0.2714285714285714,True
Combined,distance_to_inhibitor,0.3971383814355099,0.14271376156644675,-0.12857142857142856,0.8035714285714286,True
Combined,distance_to_atp_pocket,0.3899827349231584,0.15071667059780133,-0.21071428571428572,0.8178571428571428,True
