baseline,mean_diff,ci_lo,ci_hi,p_boot,n_valid,p_bh,sig_bh
blosum62,0.08280838250977496,0.05584970112175227,0.11038037181448027,0.0,5434,0.0,True
distance,0.22143997043191782,0.19147015584217314,0.2511822245690274,0.0,5434,0.0,True
inhib_distance,0.2673891303810601,0.23857489860026473,0.2961645323287304,0.0,5434,0.0,True
dddG,0.2565683152131221,0.2226429513178698,0.29047840329146885,0.0,5358,0.0,True
ddG_all,0.4224026614011302,0.38223765418044275,0.46412396673948936,0.0,5434,0.0,True
pocket_volume,0.255005596028723,0.2209864711929508,0.2870497437323356,0.0,5434,0.0,True
hydrophobicity_score,0.25291176277852356,0.21965597154380634,0.2860328344923396,0.0,5434,0.0,True
polarity_score,0.2617767208857257,0.228327975441086,0.29508538873488127,0.0,5434,0.0,True
