comparison,n_valid_iters,mean_diff,ci_lo,ci_hi,p_boot,crosses_zero,p_bh_adjusted,significant_bh
ESM-1b vs blosum62,2000,0.07891516152022884,0.05120459947849291,0.10674276833721273,0.0,False,0.0,True
ESM-1b vs distance,2000,0.2014625438852824,0.17405845946676357,0.2277897867773877,0.0,False,0.0,True
ESM-1b vs inhib_distance,2000,0.26319912778579646,0.24025829048735353,0.2854845017684598,0.0,False,0.0,True
ESM-1b vs dddG,2000,0.2629005252293171,0.22653489326470455,0.29875471588619296,0.0,False,0.0,True
ESM-1b vs ddG_all,2000,0.4181192862304024,0.37617252932202105,0.46069671196183215,0.0,False,0.0,True
ESM-1b vs pocket_volume,2000,0.2575044619255508,0.23109870047604983,0.28311642031190987,0.0,False,0.0,True
ESM-1b vs hydrophobicity_score,2000,0.2532541122653815,0.22691629808712524,0.27956968922806885,0.0,False,0.0,True
ESM-1b vs polarity_score,2000,0.2609200008256894,0.2346640998825685,0.2875574004340228,0.0,False,0.0,True
