model,n_common_mutations,n_valid_iters,mean_gap,ci_lo,ci_hi,p_vs_zero
esm1b,4595,2000,0.24202808040245816,0.2162216024957689,0.26847044682276916,0.0
esm2_150M,4595,2000,0.2545660268767032,0.22745663505127264,0.28204948060391594,0.0
esm2_650M,4595,2000,0.26668343723335836,0.2405837243444605,0.29355406068512085,0.0
esm2_3B,4595,2000,0.2602050783587338,0.2343302761093679,0.2867897228299391,0.0
