feature,n,rho_vs_treated
our_esm1b_score,48906,0.25749469031996314
blosum62,48906,0.17498119760483524
distance,48906,0.05432216676282751
inhib_distance,47853,-0.01761524940902835
dddG,48222,-0.010923607891061974
ddG_all,48450,-0.16911682447531143
pocket_volume,48403,0.06324943918604407
hydrophobicity_score,48402,0.027674211924110546
polarity_score,48403,2.2843410900919943e-05
