model,mean_gap,ci_lo,ci_hi,p_vs_zero,mean_untreated_rho,mean_treated_fz,n
esm1b,0.24189424691402167,0.21332406321619896,0.2718737421657565,0.0,0.4994611814127929,0.25756693449877127,4595
esm2_150M,0.2545078215937544,0.2241982165036629,0.285201002366529,0.0,0.4688182747903954,0.214310453196641,4595
esm2_650M,0.2662766083469844,0.2362389840923132,0.29460300671087297,0.0,0.5004592892573697,0.23418268091038533,4595
esm2_3B,0.26013325485260974,0.2298481565861684,0.28950157888122224,0.0,0.5002896636840074,0.2401564088313976,4595
