comparison,mean_diff,ci_lo,ci_hi,p_boot,n
esm1b_vs_esm2_150M,0.04021818672457293,0.02581122171443241,0.055369331508737345,0.0,5434
esm1b_vs_esm2_650M,0.023294267295144677,0.010596200849580599,0.03558946720011463,0.001,5434
esm1b_vs_esm2_3B,0.01533918381391086,0.003870852763109091,0.026171728135832663,0.006,5434
